Responsibility Key,Responsibility,Requirement Key,Requirement,bert_score_precision,soft_similarity,word_movers_distance,deberta_entailment_score,bert_score_precision_cat,soft_similarity_cat,word_movers_distance_cat,deberta_entailment_score_cat
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",0.pie_in_the_sky.0,10+ years of experience in a specific emerging technology,0.8369963765144348,0.36512720584869385,4.69041575982343,0.004789115395396948,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",0.pie_in_the_sky.1,Ph.D. in Data Science from a top-tier university,0.8352975249290466,0.19732697308063507,4.58257569495584,0.0005721544148400426,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.0,6+ years of professional non-internship marketing experience,0.8299803733825684,0.21482136845588684,4.69041575982343,0.001189400558359921,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.1,"5+ years of experience using quantitative and qualitative research data to make political, business, or communications decisions",0.8360704183578491,0.25008881092071533,5.0990195135927845,0.0022889033425599337,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.2,Experience using data and metrics to drive improvements,0.849274754524231,0.27746477723121643,4.58257569495584,0.1710444539785385,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.3,"Experience with Excel or Tableau (data manipulation, macros, charts and pivot tables)",0.8223901987075806,0.09766927361488342,5.0,0.0266086608171463,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.4,"Experience building, executing and scaling cross-functional marketing programs",0.844440221786499,0.41836708784103394,4.898979485566356,0.03922784700989723,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.5,Experience developing and executing campaigns across a multitude of timezones and languages,0.8393715620040894,0.2855008840560913,4.795831523312719,0.04242444038391113,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,0.pie_in_the_sky.0,10+ years of experience in a specific emerging technology,0.8334541320800781,0.42503079771995544,4.58257569495584,0.0007359692826867104,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,0.pie_in_the_sky.1,Ph.D. in Data Science from a top-tier university,0.8300867080688477,0.17101392149925232,4.69041575982343,0.0012582680210471153,Medium,Low,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.0,6+ years of professional non-internship marketing experience,0.8207613229751587,0.31695085763931274,4.795831523312719,0.0010331239318475127,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.1,"5+ years of experience using quantitative and qualitative research data to make political, business, or communications decisions",0.8363285064697266,0.24608956277370453,5.196152422706632,0.03201066702604294,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.2,Experience using data and metrics to drive improvements,0.8380016088485718,0.2670164108276367,4.69041575982343,0.1620292365550995,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.3,"Experience with Excel or Tableau (data manipulation, macros, charts and pivot tables)",0.8184067010879517,0.059731632471084595,5.0990195135927845,0.04661358892917633,Medium,Low,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.4,"Experience building, executing and scaling cross-functional marketing programs",0.842415988445282,0.34929007291793823,4.795831523312719,0.034239280968904495,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.5,Experience developing and executing campaigns across a multitude of timezones and languages,0.840247392654419,0.2461240291595459,4.898979485566356,0.05155192315578461,Medium,Medium,Medium,Low
