Responsibility Key,Responsibility,Requirement Key,Requirement,bert_score_precision,soft_similarity,word_movers_distance,deberta_entailment_score,bert_score_precision_cat,soft_similarity_cat,word_movers_distance_cat,deberta_entailment_score_cat
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",0.pie_in_the_sky.0,Top-tier strategy consulting experience,0.8375667333602905,0.3842483162879944,4.47213595499958,0.15745435655117035,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",0.pie_in_the_sky.1,"Motivated by high impact, high visibility work",0.8264610171318054,0.17580729722976685,4.898979485566356,0.009719613008201122,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.0,"Bachelor's degree and MBA degree required, as well as demonstrated record of success",0.8270062804222107,0.1036190539598465,5.0990195135927845,0.00020689002121798694,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.1,3-5 years of work experience preferred,0.8224994540214539,0.22979840636253357,4.47213595499958,0.0007823724881745875,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.2,Strong critical thinking skills with ability to elevate thinking and apply judgment to how components fit into the broader picture,0.8262535333633423,0.13830730319023132,5.5677643628300215,0.05216939002275467,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.3,Ability to leverage experience and analysis to gain support and influence others,0.8410958647727966,0.26584309339523315,4.795831523312719,0.37142083048820496,Medium,Medium,Medium,Medium
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.4,"Strong quantitative, analytical, and written and oral communication skills",0.8183184862136841,0.04969682916998863,4.795831523312719,0.0020158099941909313,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.5,"Strong leadership skills and ability to work independently and as a member of a team, and coach junior team members",0.8278319239616394,0.10146578401327133,5.477225575051661,0.00379424961283803,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.6,"Ability to manage multiple priorities, including project work and department responsibilities",0.8361767530441284,0.18002749979496002,5.0,0.09593648463487625,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.7,Advanced proficiency with Microsoft PowerPoint and Excel,0.8190128803253174,0.15940219163894653,4.58257569495584,0.0010438909521326423,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.8,Insurance or financial services industry experience a plus (not required),0.7942780256271362,0.24311867356300354,4.795831523312719,0.001140512409619987,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.9,Ability to independently navigate and decipher an ambiguous environment,0.8322674036026001,0.052644357085227966,4.69041575982343,0.1800675094127655,Medium,Low,Medium,Low
