Responsibility Key,Responsibility,Requirement Key,Requirement,bert_score_precision,soft_similarity,word_movers_distance,deberta_entailment_score,bert_score_precision_cat,soft_similarity_cat,word_movers_distance_cat,deberta_entailment_score_cat
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",0.pie_in_the_sky.0,"10+ years of product or program management, product marketing, business development or technology experience",0.8352611660957336,0.26024049520492554,5.385164807134504,0.0019236316438764334,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",0.pie_in_the_sky.1,6+ years of team management experience,0.8348836302757263,0.25108274817466736,4.47213595499958,0.0011126117315143347,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.0,Lead a cross-functional team defining product and program requirements across the company.,0.8520172834396362,0.39009928703308105,5.0,0.023203585296869278,High,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.1,"Work with customers, partners, and operational stakeholders to prioritize roadmap features.",0.8504459857940674,0.4821631908416748,4.898979485566356,0.09013741463422775,High,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.2,Collaborate with GenAI scientists to improve the performance of our models.,0.8424599170684814,0.1902874857187271,4.69041575982343,0.053538013249635696,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.3,Work with customers to learn about problems they are trying to solve.,0.8361697793006897,0.306403249502182,4.69041575982343,0.07919394224882126,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.4,Analyze service and business metrics.,0.8399544358253479,0.4340982437133789,4.242640687119285,0.04257229343056679,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.5,"Write PRFAQs, Business Requirement Documents, and iterate on product decisions with Science and Technical teams.",0.8457275032997131,0.2270667999982834,5.196152422706632,0.00659136800095439,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,0.pie_in_the_sky.0,"10+ years of product or program management, product marketing, business development or technology experience",0.827461302280426,0.2953166365623474,5.477225575051661,0.0031467615626752377,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,0.pie_in_the_sky.1,6+ years of team management experience,0.8228461742401123,0.29360270500183105,4.58257569495584,0.0006887883064337075,Medium,Medium,Medium,Low
