Responsibility Key,Responsibility,Requirement Key,Requirement,bert_score_precision,soft_similarity,word_movers_distance,deberta_entailment_score,bert_score_precision_cat,soft_similarity_cat,word_movers_distance_cat,deberta_entailment_score_cat
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.0,"Bachelor's degree in Computer Science, Computer Engineering or a technical field",0.8231856822967529,0.12588204443454742,5.0990195135927845,0.023560315370559692,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.1,"At least 8 years of experience programming with Python, Go, Scala, or C/C++",0.8213584423065186,0.1238446906208992,4.58257569495584,0.016332456842064857,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.2,At least 5 years of experience designing and building and deploying enterprise AI or ML applications.,0.8346491456031799,0.27643802762031555,5.0,0.006439569406211376,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.0,Develop abstracted platform services to support applications powered by Generative AI,0.8521077036857605,0.12156543135643005,5.0,0.025233525782823563,High,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.1,"Develop SDKs and APIs for our user community to power a wide range of applications such as information retrieval, fraud detection, AI Assistants, recommendations on our Gen AI platform.",0.8406199216842651,0.2130725085735321,6.082762530298219,0.035220079123973846,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.2,"Design and build RAG service platform orchestrations including prompt engineering, guardrails, vector databases, API Grounding",0.8339353799819946,0.2909279763698578,5.291502622129181,0.006705944426357746,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.3,Build out a Prompt management service via cross organizational partnerships,0.8465535640716553,0.3777274489402771,4.58257569495584,0.05760493129491806,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.4,Stay up-to-date with latest advancements in operationalization of machine learning and GenAI Technologies,0.8307825922966003,0.13203291594982147,5.0,0.02641189470887184,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.5,Design and implement capabilities to support MLOps for foundation models.,0.8409167528152466,0.23872670531272888,4.795831523312719,0.09743387252092361,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.0,"Bachelor's degree in Computer Science, Computer Engineering or a technical field",0.8206149339675903,0.13410641252994537,5.0,0.0439675897359848,Medium,Low,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.1,"At least 8 years of experience programming with Python, Go, Scala, or C/C++",0.8207582235336304,0.15157121419906616,4.69041575982343,0.012916979379951954,Medium,Low,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.2,At least 5 years of experience designing and building and deploying enterprise AI or ML applications.,0.8358321785926819,0.32704636454582214,5.0990195135927845,0.01139394287019968,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,2.other.0,Develop abstracted platform services to support applications powered by Generative AI,0.8375451564788818,0.23780469596385956,4.898979485566356,0.04551021382212639,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,2.other.1,"Develop SDKs and APIs for our user community to power a wide range of applications such as information retrieval, fraud detection, AI Assistants, recommendations on our Gen AI platform.",0.8317633867263794,0.2097504734992981,6.164414002968976,0.09174817055463791,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,2.other.2,"Design and build RAG service platform orchestrations including prompt engineering, guardrails, vector databases, API Grounding",0.8277847766876221,0.2629101276397705,5.196152422706632,0.026497086510062218,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,2.other.3,Build out a Prompt management service via cross organizational partnerships,0.8385003209114075,0.3214517831802368,4.69041575982343,0.04971422255039215,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,2.other.4,Stay up-to-date with latest advancements in operationalization of machine learning and GenAI Technologies,0.8261568546295166,0.19973738491535187,5.0990195135927845,0.08867796510457993,Medium,Low,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,2.other.5,Design and implement capabilities to support MLOps for foundation models.,0.8300011157989502,0.21017220616340637,4.898979485566356,0.22157053649425507,Medium,Medium,Medium,Medium
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",1.down_to_earth.0,"Bachelor's degree in Computer Science, Computer Engineering or a technical field",0.8256577849388123,0.23465827107429504,5.5677643628300215,0.06598582863807678,Medium,Medium,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",1.down_to_earth.1,"At least 8 years of experience programming with Python, Go, Scala, or C/C++",0.8242793083190918,0.17127753794193268,5.291502622129181,0.0960683599114418,Medium,Low,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",1.down_to_earth.2,At least 5 years of experience designing and building and deploying enterprise AI or ML applications.,0.8316512107849121,0.3275817334651947,5.656854249492381,0.04712111875414848,Medium,Medium,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",2.other.0,Develop abstracted platform services to support applications powered by Generative AI,0.8364875316619873,0.18735945224761963,5.477225575051661,0.039140354841947556,Medium,Low,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",2.other.1,"Develop SDKs and APIs for our user community to power a wide range of applications such as information retrieval, fraud detection, AI Assistants, recommendations on our Gen AI platform.",0.8339816927909851,0.18042375147342682,6.6332495807108,0.027363507077097893,Medium,Low,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",2.other.2,"Design and build RAG service platform orchestrations including prompt engineering, guardrails, vector databases, API Grounding",0.8339324593544006,0.33764439821243286,5.916079783099616,0.027905458584427834,Medium,Medium,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",2.other.3,Build out a Prompt management service via cross organizational partnerships,0.8349554538726807,0.37415778636932373,5.477225575051661,0.06754209846258163,Medium,Medium,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",2.other.4,Stay up-to-date with latest advancements in operationalization of machine learning and GenAI Technologies,0.8381162285804749,0.27145037055015564,5.656854249492381,0.025517160072922707,Medium,Medium,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",2.other.5,Design and implement capabilities to support MLOps for foundation models.,0.8357412815093994,0.2887561321258545,5.477225575051661,0.12597931921482086,Medium,Medium,Medium,Low
0.responsibilities.3,"Enhanced data quality and consistency by integrating thorough financial analysis, standardizing methodologies, and conducting in-depth vendor engagements.",1.down_to_earth.0,"Bachelor's degree in Computer Science, Computer Engineering or a technical field",0.832529604434967,0.04217468574643135,4.898979485566356,0.03136979043483734,Medium,Low,Medium,Low
