Responsibility Key,Responsibility,Requirement Key,Requirement,bert_score_precision,soft_similarity,word_movers_distance,deberta_entailment_score,bert_score_precision_cat,soft_similarity_cat,word_movers_distance_cat,deberta_entailment_score_cat
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",0.pie_in_the_sky.0,10+ years of experience in the industry as a ML practitioner or executive,0.8303371071815491,0.24893783032894135,4.795831523312719,0.0004607664013747126,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",0.pie_in_the_sky.1,Ph.D. in Data Science or related field from a top-tier university,0.8246538639068604,0.2047855257987976,4.795831523312719,0.00735069252550602,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.0,Bachelor's degree in relevant field,0.8047406673431396,0.08597514033317566,4.47213595499958,0.002781406044960022,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.1,5+ years of experience in the industry as a ML practitioner or executive,0.8304232954978943,0.26059266924858093,4.69041575982343,0.0005776846664957702,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.2,Experience participating in the sales lifecycle (directly or indirectly),0.8342685699462891,0.2990090548992157,4.69041575982343,0.20991505682468414,Medium,Medium,Medium,Medium
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.3,Experience in management consulting or related work,0.8251997232437134,0.2675727605819702,4.58257569495584,0.28138136863708496,Medium,Medium,Medium,Medium
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.4,"Experience launching technically complex programs, projects, or related work that include big data, analytics, artificial intelligence, and machine learning",0.8236609697341919,0.275799036026001,5.656854249492381,0.02624323219060898,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.5,Experience with writing communications such as strategy papers or white papers,0.8303237557411194,0.1371874213218689,5.0,0.04256165772676468,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.6,Participated in the product management and marketing lifecycles (directly or indirectly),0.8401722311973572,0.20564360916614532,4.795831523312719,0.038609568029642105,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.7,"Experience with presenting to audiences of 5 to 50 people of various levels (developers to executives) and backgrounds (business, technical, operations)",0.8302846550941467,0.16257616877555847,5.291502622129181,0.0005338765913620591,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.0,"Our compensation reflects the cost of labor across several US geographic markets. The base pay for this position ranges from $138,200/year in our lowest geographic market up to $239,000/year in our highest geographic market.",0.8316938877105713,0.08261068165302277,6.928203230275509,0.011760193854570389,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.1,"Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status.",0.8225003480911255,0.21456119418144226,7.14142842854285,0.06174995005130768,Medium,Medium,Low,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,0.pie_in_the_sky.0,10+ years of experience in the industry as a ML practitioner or executive,0.8268678188323975,0.2831319570541382,4.898979485566356,0.0006342502892948687,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,0.pie_in_the_sky.1,Ph.D. in Data Science or related field from a top-tier university,0.822882354259491,0.17558801174163818,4.898979485566356,0.018924390897154808,Medium,Low,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.0,Bachelor's degree in relevant field,0.8037578463554382,0.1535128802061081,4.58257569495584,0.003035162575542927,Medium,Low,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.1,5+ years of experience in the industry as a ML practitioner or executive,0.8269400596618652,0.3038823902606964,4.795831523312719,0.0008035533246584237,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.2,Experience participating in the sales lifecycle (directly or indirectly),0.8281509876251221,0.29011276364326477,4.795831523312719,0.3195817470550537,Medium,Medium,Medium,Medium
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.3,Experience in management consulting or related work,0.8148447275161743,0.26485538482666016,4.69041575982343,0.3430752158164978,Medium,Medium,Medium,Medium
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.4,"Experience launching technically complex programs, projects, or related work that include big data, analytics, artificial intelligence, and machine learning",0.8210791349411011,0.2949199080467224,5.744562646538029,0.04517609626054764,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.5,Experience with writing communications such as strategy papers or white papers,0.8218640089035034,0.20635032653808594,4.898979485566356,0.0313878133893013,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.6,Participated in the product management and marketing lifecycles (directly or indirectly),0.8370301723480225,0.20832961797714233,4.898979485566356,0.07968482375144958,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.7,"Experience with presenting to audiences of 5 to 50 people of various levels (developers to executives) and backgrounds (business, technical, operations)",0.8265448808670044,0.14394134283065796,5.385164807134504,0.0026621990837156773,Medium,Low,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,2.other.0,"Our compensation reflects the cost of labor across several US geographic markets. The base pay for this position ranges from $138,200/year in our lowest geographic market up to $239,000/year in our highest geographic market.",0.8363931179046631,0.10389667004346848,6.855654600401044,0.004251720383763313,Medium,Low,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,2.other.1,"Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status.",0.8240405321121216,0.15061767399311066,7.211102550927978,0.07611909508705139,Medium,Low,Low,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",0.pie_in_the_sky.0,10+ years of experience in the industry as a ML practitioner or executive,0.8329542875289917,0.3247789442539215,5.291502622129181,0.0011736733140423894,Medium,Medium,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",0.pie_in_the_sky.1,Ph.D. in Data Science or related field from a top-tier university,0.8267205953598022,0.24504080414772034,5.477225575051661,0.032127246260643005,Medium,Medium,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",1.down_to_earth.0,Bachelor's degree in relevant field,0.8057929873466492,0.21281218528747559,5.196152422706632,0.01343244407325983,Medium,Medium,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",1.down_to_earth.1,5+ years of experience in the industry as a ML practitioner or executive,0.8330953121185303,0.3227676749229431,5.196152422706632,0.001607566955499351,Medium,Medium,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",1.down_to_earth.2,Experience participating in the sales lifecycle (directly or indirectly),0.8308173418045044,0.21815617382526398,5.385164807134504,0.4022820293903351,Medium,Medium,Medium,Medium
