Responsibility Key,Responsibility,Requirement Key,Requirement,bert_score_precision,soft_similarity,word_movers_distance,deberta_entailment_score,bert_score_precision_cat,soft_similarity_cat,word_movers_distance_cat,deberta_entailment_score_cat
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",0.pie_in_the_sky.0,"Masters’ degree or equivalent in business, marketing, analytics, engineering, or other related quantitative discipline (e.g. MBA)",0.8160021901130676,0.13603535294532776,5.196152422706632,0.03643996641039848,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.0,"8+ years of experience in management consulting, strategy, finance, business operations, corporate strategy, investment banking, product management, or similar",0.8183913826942444,0.2591845393180847,5.916079783099616,0.007774081081151962,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.1,"Quantitative, analytical and conceptual problem-solving skills combined with business acumen",0.829878568649292,0.25772950053215027,5.0,0.02372147887945175,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.2,7+ years of experience in Business Strategy and/or Product Management at leading or startup tech/media company and/or strategy consulting,0.8259198069572449,0.3201652765274048,5.5677643628300215,0.0009297648211941123,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.3,"3+ years of experience leading strategy projects at a consulting firm, investment bank, or in a corporate strategy team",0.8362935781478882,0.3449181318283081,5.477225575051661,0.000483571580844,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.4,"Experience in digital advertising or consumer internet space, including social, communications, media, and entertainment verticals",0.8234577775001526,0.2157403975725174,5.291502622129181,0.08455649763345718,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.5,Experience working in an ambiguous and rapidly changing environment,0.8353620767593384,0.27266350388526917,4.69041575982343,0.030825551599264145,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.0,Build a deep understanding of our existing business using internal and external data,0.8465644121170044,0.314231276512146,4.898979485566356,0.01473951805382967,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.1,"Strategically evaluate new product opportunities, and how they fit into a product portfolio",0.8437528014183044,0.2521529793739319,5.0990195135927845,0.014288323931396008,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.2,"Work with cross-functional partners (Product, Data Science, Engineering, User Research, Marketing, Finance, Legal etc.) to surface opportunities and threats, outline data-driven strategic decisions, and frame actionable product recommendations",0.8327870965003967,0.4084368050098419,6.6332495807108,0.0026030673179775476,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.3,"Effectively present and communicate actionable insights and recommendations to executives, product and business leaders, and cross-functional partners, in order to influence product roadmap decisions",0.8536503911018372,0.42418426275253296,5.830951894845301,0.027993354946374893,High,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,0.pie_in_the_sky.0,"Masters’ degree or equivalent in business, marketing, analytics, engineering, or other related quantitative discipline (e.g. MBA)",0.8191120624542236,0.2078932672739029,5.0990195135927845,0.059467680752277374,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.0,"8+ years of experience in management consulting, strategy, finance, business operations, corporate strategy, investment banking, product management, or similar",0.8183460235595703,0.32995325326919556,5.656854249492381,0.024370843544602394,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.1,"Quantitative, analytical and conceptual problem-solving skills combined with business acumen",0.8268517851829529,0.20293697714805603,5.0990195135927845,0.03486061841249466,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.2,7+ years of experience in Business Strategy and/or Product Management at leading or startup tech/media company and/or strategy consulting,0.8252438902854919,0.3472597599029541,5.291502622129181,0.0034198348876088858,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.3,"3+ years of experience leading strategy projects at a consulting firm, investment bank, or in a corporate strategy team",0.83385169506073,0.34894615411758423,5.196152422706632,0.0009134217398241162,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.4,"Experience in digital advertising or consumer internet space, including social, communications, media, and entertainment verticals",0.8209073543548584,0.2580419182777405,5.385164807134504,0.17283344268798828,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.5,Experience working in an ambiguous and rapidly changing environment,0.8365455865859985,0.2635262608528137,4.795831523312719,0.1498907208442688,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,2.other.0,Build a deep understanding of our existing business using internal and external data,0.8428378105163574,0.3716697096824646,5.0,0.04252690449357033,Medium,Medium,Medium,Low
