Responsibility Key,Responsibility,Requirement Key,Requirement,bert_score_precision,soft_similarity,word_movers_distance,deberta_entailment_score,bert_score_precision_cat,soft_similarity_cat,word_movers_distance_cat,deberta_entailment_score_cat
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",0.pie_in_the_sky.0,"Master's Degree in Business Administration or related field AND 12+ years marketing, strategy, business planning, consulting, banking, finance, economics, and/or partner organization experience",0.82759690284729,0.238717183470726,5.916079783099616,0.004461884498596191,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.0,"Bachelor's Degree in Business, Liberal Arts, Sciences, or related field AND 12+ years relevant work experience",0.8245522975921631,0.1879541426897049,5.385164807134504,0.0023802965879440308,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.1,5+ years people management experience,0.8301524519920349,0.23887786269187927,4.47213595499958,0.0016642538830637932,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.2,"2+ years experience in Strategy, Management Consulting, and/or Finance",0.8286128044128418,0.2701157331466675,4.69041575982343,0.001021558535285294,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",1.down_to_earth.3,"6+ years experience in Strategy, Management Consulting, including at a tech company, driving both partnership and product strategy",0.8456132411956787,0.3960052728652954,5.477225575051661,0.0006435049581341445,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.0,Experience in customer service,0.8153365254402161,0.32669854164123535,4.123105625617661,0.25627046823501587,Medium,Medium,Medium,Medium
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.1,Industry leading healthcare,0.809572696685791,0.29036420583724976,4.358898943540674,0.010620702989399433,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.2,Educational resources,0.7965471744537354,-0.03282247483730316,4.242640687119285,0.07508450001478195,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.3,Discounts on products and services,0.7966912984848022,0.21762970089912415,4.358898943540674,0.01617896370589733,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.4,Savings and investments,0.797659158706665,0.06971248984336853,4.242640687119285,0.04714448004961014,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.5,Maternity and paternity leave,0.8017575740814209,-0.0722074955701828,4.358898943540674,0.11299816519021988,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.6,Generous time away,0.7975650429725647,0.028309637680649757,4.358898943540674,0.02019571326673031,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.7,Giving programs,0.7996246814727783,0.14123958349227905,4.242640687119285,0.1106879934668541,Medium,Low,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.8,Opportunities to network and connect,0.8172616958618164,0.2902452051639557,4.358898943540674,0.06316985189914703,Medium,Medium,Medium,Low
0.responsibilities.0,"Provided strategic insights to a major global IT vendor, optimizing their service partner ecosystem in Asia Pacific for improved local implementation outcomes.",2.other.9,Equal opportunity employer,0.811850368976593,0.1426023691892624,4.358898943540674,0.016332484781742096,Medium,Low,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,0.pie_in_the_sky.0,"Master's Degree in Business Administration or related field AND 12+ years marketing, strategy, business planning, consulting, banking, finance, economics, and/or partner organization experience",0.8237414360046387,0.25532007217407227,6.0,0.008536968380212784,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.0,"Bachelor's Degree in Business, Liberal Arts, Sciences, or related field AND 12+ years relevant work experience",0.8233721852302551,0.2249988168478012,5.477225575051661,0.004116746596992016,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.1,5+ years people management experience,0.8224707841873169,0.22549396753311157,4.58257569495584,0.0006856216350570321,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.2,"2+ years experience in Strategy, Management Consulting, and/or Finance",0.8246369957923889,0.35223740339279175,4.58257569495584,0.0026685060001909733,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,1.down_to_earth.3,"6+ years experience in Strategy, Management Consulting, including at a tech company, driving both partnership and product strategy",0.8335434794425964,0.37262874841690063,5.196152422706632,0.0007797452271915972,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,2.other.0,Experience in customer service,0.8104503154754639,0.3644751310348511,4.242640687119285,0.19449953734874725,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,2.other.1,Industry leading healthcare,0.8027806878089905,0.3125014901161194,4.47213595499958,0.039509013295173645,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,2.other.2,Educational resources,0.7918155789375305,-0.0013186046853661537,4.358898943540674,0.057838864624500275,Medium,Low,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,2.other.3,Discounts on products and services,0.795799732208252,0.20493176579475403,4.242640687119285,0.12019499391317368,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,2.other.4,Savings and investments,0.795529842376709,0.10251051187515259,4.358898943540674,0.13510467112064362,Medium,Low,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,2.other.5,Maternity and paternity leave,0.7993493676185608,0.014423164539039135,4.47213595499958,0.10716941207647324,Medium,Low,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,2.other.6,Generous time away,0.796215832233429,0.034011080861091614,4.47213595499958,0.017947927117347717,Medium,Low,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,2.other.7,Giving programs,0.79596346616745,0.1416364312171936,4.358898943540674,0.18157538771629333,Medium,Low,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,2.other.8,Opportunities to network and connect,0.812859058380127,0.2706359922885895,4.242640687119285,0.14596466720104218,Medium,Medium,Medium,Low
0.responsibilities.1,Assisted a U.S.-based international services provider in its growth strategy by precisely evaluating and scaling new engineering service opportunities in vital emerging markets.,2.other.9,Equal opportunity employer,0.803744912147522,0.1294023096561432,4.47213595499958,0.020538751035928726,Medium,Low,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",0.pie_in_the_sky.0,"Master's Degree in Business Administration or related field AND 12+ years marketing, strategy, business planning, consulting, banking, finance, economics, and/or partner organization experience",0.8262508511543274,0.26247191429138184,6.6332495807108,0.03528127074241638,Medium,Medium,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",1.down_to_earth.0,"Bachelor's Degree in Business, Liberal Arts, Sciences, or related field AND 12+ years relevant work experience",0.8235111236572266,0.2510553002357483,6.0,0.01412587147206068,Medium,Medium,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",1.down_to_earth.1,5+ years people management experience,0.8228179812431335,0.22704146802425385,5.196152422706632,0.024156877771019936,Medium,Medium,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",1.down_to_earth.2,"2+ years experience in Strategy, Management Consulting, and/or Finance",0.8335739970207214,0.3451457619667053,5.385164807134504,0.03140939399600029,Medium,Medium,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",1.down_to_earth.3,"6+ years experience in Strategy, Management Consulting, including at a tech company, driving both partnership and product strategy",0.8405268788337708,0.4608798027038574,6.082762530298219,0.002417683834210038,Medium,Medium,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",2.other.0,Experience in customer service,0.8144369721412659,0.27290084958076477,5.0990195135927845,0.15976549685001373,Medium,Medium,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",2.other.1,Industry leading healthcare,0.8053677082061768,0.34913602471351624,4.898979485566356,0.00500511983409524,Medium,Medium,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",2.other.2,Educational resources,0.794951319694519,0.010761860758066177,5.0,0.24882487952709198,Medium,Low,Medium,Medium
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",2.other.3,Discounts on products and services,0.7989685535430908,0.12512867152690887,4.898979485566356,0.10925580561161041,Medium,Low,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",2.other.4,Savings and investments,0.7991560697555542,0.09379386901855469,5.0,0.10226233303546906,Medium,Low,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",2.other.5,Maternity and paternity leave,0.8052204847335815,0.03664751350879669,5.0990195135927845,0.1700282096862793,Medium,Low,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",2.other.6,Generous time away,0.7965906858444214,0.01782269775867462,5.0990195135927845,0.019573811441659927,Medium,Low,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",2.other.7,Giving programs,0.7986217737197876,0.1358110010623932,5.0,0.18661141395568848,Medium,Low,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",2.other.8,Opportunities to network and connect,0.8163529634475708,0.3239395320415497,4.898979485566356,0.10329871624708176,Medium,Medium,Medium,Low
0.responsibilities.2,"Co-authored an industry-recognized report on M&A in the engineering services sector, offering deep dives into deal sizes, capability gaps, and emerging opportunities, influencing strategic decisions in IT and operational technology convergence.",2.other.9,Equal opportunity employer,0.8035866618156433,0.14072749018669128,5.0990195135927845,0.039320483803749084,Medium,Low,Medium,Low
0.responsibilities.3,"Enhanced data quality and consistency by integrating thorough financial analysis, standardizing methodologies, and conducting in-depth vendor engagements.",0.pie_in_the_sky.0,"Master's Degree in Business Administration or related field AND 12+ years marketing, strategy, business planning, consulting, banking, finance, economics, and/or partner organization experience",0.8287543654441833,0.19094516336917877,5.916079783099616,0.015411828644573689,Medium,Low,Medium,Low
0.responsibilities.3,"Enhanced data quality and consistency by integrating thorough financial analysis, standardizing methodologies, and conducting in-depth vendor engagements.",1.down_to_earth.0,"Bachelor's Degree in Business, Liberal Arts, Sciences, or related field AND 12+ years relevant work experience",0.8316386938095093,0.1166594922542572,5.196152422706632,0.009278632700443268,Medium,Low,Medium,Low
0.responsibilities.3,"Enhanced data quality and consistency by integrating thorough financial analysis, standardizing methodologies, and conducting in-depth vendor engagements.",1.down_to_earth.1,5+ years people management experience,0.8326125144958496,0.14176879823207855,4.242640687119285,0.0007777365390211344,Medium,Low,Medium,Low
0.responsibilities.3,"Enhanced data quality and consistency by integrating thorough financial analysis, standardizing methodologies, and conducting in-depth vendor engagements.",1.down_to_earth.2,"2+ years experience in Strategy, Management Consulting, and/or Finance",0.8361215591430664,0.18370473384857178,4.47213595499958,0.01137098204344511,Medium,Low,Medium,Low
0.responsibilities.3,"Enhanced data quality and consistency by integrating thorough financial analysis, standardizing methodologies, and conducting in-depth vendor engagements.",1.down_to_earth.3,"6+ years experience in Strategy, Management Consulting, including at a tech company, driving both partnership and product strategy",0.8367525935173035,0.2304401397705078,5.291502622129181,0.0016596324276179075,Medium,Medium,Medium,Low
0.responsibilities.3,"Enhanced data quality and consistency by integrating thorough financial analysis, standardizing methodologies, and conducting in-depth vendor engagements.",2.other.0,Experience in customer service,0.8236141204833984,0.2736920416355133,4.123105625617661,0.10062465071678162,Medium,Medium,Medium,Low
0.responsibilities.3,"Enhanced data quality and consistency by integrating thorough financial analysis, standardizing methodologies, and conducting in-depth vendor engagements.",2.other.1,Industry leading healthcare,0.8142359256744385,0.24036073684692383,4.123105625617661,0.014214739203453064,Medium,Medium,Medium,Low
0.responsibilities.3,"Enhanced data quality and consistency by integrating thorough financial analysis, standardizing methodologies, and conducting in-depth vendor engagements.",2.other.2,Educational resources,0.8098779320716858,-0.031323958188295364,4.0,0.06660505384206772,Medium,Low,High,Low
0.responsibilities.3,"Enhanced data quality and consistency by integrating thorough financial analysis, standardizing methodologies, and conducting in-depth vendor engagements.",2.other.3,Discounts on products and services,0.8066347241401672,0.16465142369270325,4.123105625617661,0.11888113617897034,Medium,Low,Medium,Low
0.responsibilities.3,"Enhanced data quality and consistency by integrating thorough financial analysis, standardizing methodologies, and conducting in-depth vendor engagements.",2.other.4,Savings and investments,0.8194565773010254,0.1170540601015091,4.0,0.05746255815029144,Medium,Low,High,Low
0.responsibilities.3,"Enhanced data quality and consistency by integrating thorough financial analysis, standardizing methodologies, and conducting in-depth vendor engagements.",2.other.5,Maternity and paternity leave,0.8202159404754639,-0.07705794274806976,4.123105625617661,0.0932837426662445,Medium,Low,Medium,Low
0.responsibilities.3,"Enhanced data quality and consistency by integrating thorough financial analysis, standardizing methodologies, and conducting in-depth vendor engagements.",2.other.6,Generous time away,0.8098288774490356,-0.006054343655705452,4.123105625617661,0.008285965770483017,Medium,Low,Medium,Low
0.responsibilities.3,"Enhanced data quality and consistency by integrating thorough financial analysis, standardizing methodologies, and conducting in-depth vendor engagements.",2.other.7,Giving programs,0.8151817321777344,0.026991015300154686,4.0,0.043924376368522644,Medium,Low,High,Low
